kabupaten_kota,kecamatan,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,jumlah_penduduk,rainfall_intensity,is_rainy_season,elevation_slope_ratio,vegetation_moisture,population_density_proxy,extreme_rainfall
bekasi,pebayuran,59.992,86.24,27.89,7.055,Cropland,0.336,0.061,35.956,2020,1,0,-6.1593,107.2485,110356.0,1.4139559286463799,1,6.649387370405278,12.081216000000001,13700.310366232154,0
bekasi,serangbaru,61.124,84.232,31.43,47.778,Tree cover,0.507,0.25,37.163,2020,1,0,-6.3956,107.1143,152783.0,1.355868907346597,1,38.2224,18.841641,3132.2112427733814,0
bekasi,setu,66.263,92.934,27.92,51.932,Tree cover,0.415,0.202,37.235,2020,1,1,-6.3637,107.0373,165907.0,1.3816511306364567,1,43.204658901830285,15.452525,3134.3421748658657,0
bekasi,sukakarya,62.868,95.065,28.15,5.911,Cropland,0.328,0.05,35.984,2020,1,1,-6.1449,107.1856,15753.0,1.488460574935805,1,5.629523809523809,11.802752000000002,2279.4096368108812,0
bekasi,sukatani,60.848,87.118,28.52,9.292,Cropland,0.353,0.08,35.984,2020,1,0,-6.1918,107.1559,102679.0,1.4085823308756953,1,8.603703703703703,12.702352,9976.583754372328,0
bekasi,sukawangi,68.314,105.052,29.12,3.12,Cropland,0.35,0.044,35.984,2020,1,1,-6.1187,107.091,54097.0,1.5155956949534006,1,2.9885057471264367,12.5944,13130.339805825242,1
bekasi,tambelang,63.43,93.347,28.43,5.555,Cropland,0.35,0.072,35.984,2020,1,0,-6.167,107.1273,43986.0,1.4488126649076514,1,5.181902985074626,12.5944,6710.297482837529,0
bekasi,tambunselatan,63.162,86.733,29.01,20.065,Built-up,0.2,0.152,36.675,2020,1,1,-6.2571,107.0543,416552.5,1.3517814282597176,1,17.417534722222225,7.335,19774.626157132683,0
bekasi,tambunutara,66.069,92.899,29.01,8.214,Built-up,0.28,0.091,35.984,2020,1,1,-6.1927,107.0611,193581.0,1.3851257660021767,1,7.528872593950505,10.075520000000001,21009.44215324506,0
bekasi,tarumajaya,71.663,105.751,29.22,2.309,Cropland,0.238,0.051,36.833,2020,1,1,-6.1219,106.9975,123032.0,1.4553624265444587,1,2.1969552806850623,8.766254,37181.021456633425,1
