kabupaten_kota,kecamatan,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,jumlah_penduduk
jakarta pusat,tanahabang,69.553,115.431,39.51,12.45,Built-up,0.133,0.13,37.605,2020,1,0,-6.2054,106.8094,173198.0
bogor,babakanmadang,85.461,136.08,29.36,501.913,Tree cover,0.457,5.001,39.358,2020,2,0,-6.5917,106.902,121972.0
bogor,bojonggede,75.274,119.071,37.76,133.589,Built-up,0.385,0.293,41.306,2020,2,0,-6.4774,106.7927,266481.0
bogor,caringin,77.262,119.114,25.71,765.651,Tree cover,0.421,4.954,39.315,2020,2,0,-6.7366,106.866,138901.0
bogor,cariu,73.196,126.802,30.64,143.845,Tree cover,0.557,2.107,39.319,2020,2,0,-6.5273,107.1371,54478.0
bogor,ciampea,77.928,126.117,33.12,212.619,Tree cover,0.545,1.34,39.329,2020,2,0,-6.5742,106.698,175400.0
bogor,ciawi,84.504,130.66,28.28,925.94,Tree cover,0.331,6.501,39.346,2020,2,0,-6.7091,106.8937,117903.0
bogor,cibinong,73.486,117.024,37.23,134.037,Built-up,0.339,0.322,41.14,2020,2,0,-6.4839,106.8354,365387.0
bogor,cibungbulang,75.435,122.477,30.96,236.566,Tree cover,0.463,1.249,39.329,2020,2,0,-6.5761,106.661,152898.0
bogor,cigombong,74.677,114.234,23.35,688.475,Tree cover,0.555,4.624,39.308,2020,2,0,-6.7461,106.8128,101474.0
bogor,cigudeg,72.584,116.494,27.73,309.2,Tree cover,0.459,3.666,40.834,2020,2,0,-6.4937,106.5461,142405.0
bogor,cijeruk,84.504,130.168,29.97,717.352,Tree cover,0.443,7.732,39.357,2020,2,0,-6.686,106.7843,96355.0
bogor,cileungsi,72.287,128.196,29.97,69.866,Tree cover,0.389,0.251,40.663,2020,2,1,-6.4094,106.9962,273150.0
bogor,ciomas,82.466,130.393,32.39,268.719,Built-up,0.331,1.946,39.354,2020,2,0,-6.6095,106.762,161632.0
bogor,cisarua,84.609,136.979,27.07,1216.752,Tree cover,0.276,7.714,39.35,2020,2,0,-6.6985,106.9552,132320.0
bogor,ciseeng,72.51,112.478,29.85,99.044,Tree cover,0.473,0.396,42.098,2020,2,1,-6.4556,106.6785,121142.0
bogor,citeureup,79.39,128.437,30.23,229.087,Tree cover,0.446,2.772,39.935,2020,2,0,-6.525,106.8924,221710.0
bogor,dramaga,81.263,131.233,32.21,248.285,Tree cover,0.46,1.71,39.33,2020,2,0,-6.5888,106.7298,113555.0
bogor,gunungputri,71.836,125.313,35.49,81.462,Built-up,0.37,0.389,41.65,2020,2,0,-6.4052,106.9313,294195.0
